id,nombres,apellidos,genero,fecha_nacimiento,dni,direccion,departamento_id,estado,tipo_sangre
550,Tull,Fleckness,M,2022-02-10,8233-1989-45522,9 Lakewood Trail,13,cirugía,O+
551,Caspar,Dickman,F,2022-05-26,5792-1989-33664,20 Forest Dale Crossing,8,observación,AB+
552,Kandy,Gremane,M,2022-07-16,6243-1971-12165,6936 Laurel Parkway,8,alta,B-
553,Giorgia,Rebeiro,M,2022-07-30,7950-1978-30261,0424 Anniversary Hill,2,cirugía,B+
554,Mandy,Jodkowski,F,2022-05-12,2969-1998-87146,4 Northwestern Way,1,alta,O+
555,Maudie,Cragg,F,2021-11-24,4474-1944-86751,6961 Lerdahl Park,12,cita médica,B-
556,Courtney,Towsey,NB,2022-05-07,1066-2014-26771,80 Dexter Hill,14,cita médica,AB-
557,Pier,Affleck,M,2022-06-03,6755-1948-86052,59 Dexter Park,12,alta,B+
558,Mariette,Iveans,F,2021-10-17,2525-1980-76198,59789 Alpine Junction,5,cirugía,O-
559,Timothy,Ingleton,M,2022-04-16,1754-2012-84041,9 Jay Place,2,alta,O+
560,Lucie,Beckitt,NB,2022-07-04,2220-1975-51266,50152 Vera Lane,10,alta,B+
561,Gerard,Dumbreck,F,2022-01-06,1122-2001-28666,2 Oxford Alley,10,observación,A+
562,Bernetta,Brierley,F,2022-04-12,4687-1934-12866,430 Fallview Way,10,cirugía,B-
563,Harcourt,Whitehead,F,2022-01-21,2566-1950-96460,62909 Tony Court,10,alta,B-
564,Olenolin,Martini,F,2022-05-20,7384-1945-27399,99 East Point,13,cita médica,B-
565,Mycah,Kamien,NB,2022-03-22,5557-1921-38917,2 Miller Place,9,crítico,B+
566,Broderick,Prando,F,2021-09-18,6636-1951-78333,12898 Clarendon Road,10,cirugía,O-
567,Jenelle,Mewburn,F,2021-12-05,5459-1984-55659,8 Green Junction,12,cirugía,O+
568,Teddy,Verdy,F,2021-12-12,7763-1951-20377,7752 Karstens Crossing,4,cita médica,AB-
569,Benjamen,Cobain,F,2022-04-30,2391-1951-96758,1180 Swallow Junction,11,cirugía,B+
570,Irma,Parkman,M,2022-03-01,9744-1996-28460,31 School Plaza,6,cita médica,AB+
571,Matthieu,Burnhams,NB,2022-07-01,6700-1981-53270,559 Larry Plaza,4,crítico,AB+
572,Alfie,Craighead,NB,2022-04-15,3133-1945-70064,5923 Lindbergh Drive,10,observación,AB-
573,Jemima,Ridgewell,F,2022-01-19,5557-1992-56821,2865 7th Circle,2,cita médica,AB+
574,Mallory,Darte,F,2021-10-24,2827-1926-10839,24 Judy Junction,1,crítico,B+
575,Isaiah,Devonport,F,2022-05-31,3259-1920-72192,08598 Montana Terrace,9,crítico,A-
576,Paxton,Westall,M,2021-11-14,8493-1935-79871,098 Lien Plaza,9,cita médica,AB+
577,Shelly,Lemmon,F,2021-09-20,8811-1993-42275,063 Eagle Crest Plaza,10,cita médica,B-
578,Cchaddie,Bickers,F,2022-07-31,6279-1978-45445,863 Maywood Lane,3,cirugía,AB+
579,Beverly,Corcoran,M,2021-10-02,1928-1943-48404,99501 Bartillon Hill,14,cita médica,O-
580,Berta,Kendle,M,2021-09-03,4749-1974-58167,5 Mesta Terrace,11,observación,B+
581,Marika,Bodell,F,2022-06-17,2244-1997-44901,980 Namekagon Circle,6,cita médica,B-
582,Tadeo,Rubinsohn,M,2022-04-14,2936-1972-30136,15281 Merchant Place,14,crítico,AB+
583,Nara,Korlat,F,2021-08-28,2859-1935-75085,0 Service Center,15,alta,O-
584,Leigh,Wimms,F,2022-06-13,7168-2017-22456,4782 5th Center,2,cirugía,A-
585,Raf,Effemy,F,2022-08-03,5179-1959-36354,3 Eagle Crest Pass,1,alta,B-
586,Oates,Hellwig,M,2022-08-04,9140-2020-57037,39 Shoshone Place,13,cirugía,AB-
587,Petunia,Bransdon,F,2021-08-22,2040-1951-14171,80 Buhler Pass,13,cirugía,B-
588,Llewellyn,Kirkwood,NB,2021-10-31,7731-1977-48423,78676 Buhler Lane,1,cirugía,B+
589,Dolli,Bonus,F,2021-08-28,8556-1940-55862,267 Monument Lane,1,crítico,AB+
590,Belia,Beardwood,F,2021-09-09,4110-1936-70102,7 Oakridge Road,6,alta,A-
